Kanji,Reading,Level,English
紅茶,こうちゃ,5,black tea
交番,こうばん,5,police box
声,こえ,5,voice
コート,コート,5,coat
コーヒー,コーヒー,5,coffee
ここ,ここ,5,here
午後,ごご,5,afternoon
九日,ここのか,5,ninth day of month
九つ,ここのつ,5,nine (things)
午前,ごぜん,5,morning / a.m.
答える,こたえる,5,to answer
こちら,こちら,5,this way / this person
こっち,こっち,5,this way (coll.)
コップ,コップ,5,glass (cup)
今年,ことし,5,this year
言葉,ことば,5,word / language
子供,こども,5,child
この,この,5,this (before noun)
御飯,ごはん,5,meal / rice
コピーする,コピーする,5,to copy
困る,こまる,5,to be troubled
これ,これ,5,this
今月,こんげつ,5,this month
今週,こんしゅう,5,this week
こんな,こんな,5,this kind of
今晩,こんばん,5,tonight
さあ,さあ,5,come now / well
財布,さいふ,5,wallet
魚,さかな,5,fish
先,さき,5,ahead / previous
咲く,さく,5,to bloom
作文,さくぶん,5,composition / essay
差す,さす,5,to shine (sun) / to raise (umbrella)
雑誌,ざっし,5,magazine
砂糖,さとう,5,sugar
寒い,さむい,5,cold (weather)
さ来年,さらいねん,5,year after next
三,さん,5,three
散歩する,さんぽする,5,to take a walk
四,し,5,four
四,よん,5,four
塩,しお,5,salt
しかし,しかし,5,however
時間,じかん,5,time / hour
仕事,しごと,5,work / job
辞書,じしょ,5,dictionary
静か,しずか,5,quiet
下,した,5,below / under
七,しち,5,seven
七,なな,5,seven
質問,しつもん,5,question
自転車,じてんしゃ,5,bicycle
自動車,じどうしゃ,5,car
死ぬ,しぬ,5,to die
字引,じびき,5,dictionary (less common)
自分,じぶん,5,oneself
閉まる,しまる,5,to be closed
閉める,しめる,5,to close
締める,しめる,5,to tighten
じゃ,じゃ,5,then / well (contraction of では)
じゃあ,じゃあ,5,then / well
写真,しゃしん,5,photograph
シャツ,シャツ,5,shirt
シャワー,シャワー,5,shower
十,じゅう,5,ten
十,とお,5,ten
授業,じゅぎょう,5,lesson / class
宿題,しゅくだい,5,homework
上手,じょうず,5,skillful / good at
丈夫,じょうぶ,5,strong / healthy
しょうゆ,しょうゆ,5,soy sauce
食堂,しょくどう,5,dining hall / cafeteria
知る,しる,5,to know
白,しろ,5,white
白い,しろい,5,white
新聞,しんぶん,5,newspaper
水曜日,すいようび,5,Wednesday
吸う,すう,5,to inhale / to smoke
スカート,スカート,5,skirt
好き,すき,5,liking / fondness
少ない,すくない,5,few / little
すぐに,すぐに,5,immediately
少し,すこし,5,a little
涼しい,すずしい,5,cool (temperature)
ストーブ,ストーブ,5,stove / heater
スプーン,スプーン,5,spoon
スポーツ,スポーツ,5,sports
ズボン,ズボン,5,trousers / pants
住む,すむ,5,to live (reside)
スリッパ,スリッパ,5,slippers
する,する,5,to do
座る,すわる,5,to sit
背,せ,5,height / back (body)
生徒,せいと,5,student (middle/high school)
セーター,セーター,5,sweater
せっけん,せっけん,5,soap
背広,せびろ,5,business suit
狭い,せまい,5,narrow
ゼロ,ゼロ,5,zero
千,せん,5,thousand
先月,せんげつ,5,last month
先週,せんしゅう,5,last week
先生,せんせい,5,teacher
洗濯,せんたく,5,laundry
全部,ぜんぶ,5,all / whole
掃除する,そうじする,5,to clean
そうして,そうして,5,and then / so
そして,そして,5,and then
そこ,そこ,5,there
そちら,そちら,5,that way
そっち,そっち,5,that way (coll.)
外,そと,5,outside
その,その,5,that (before noun)
そば,そば,5,side / near
空,そら,5,sly
それ,それ,5,that
それから,それから,5,after that / and then
それでは,それでは,5,well then
大学,だいがく,5,university
大使館,たいしかん,5,embassy
大丈夫,だいじょうぶ,5,alright / safe
大好き,だいすき,5,like very much
大切,たいせつ,5,important / precious
台所,だいどころ,5,kitchen
たいへん,たいへん,5,very / terribly / serious
高い,たかい,5,high / expensive
たくさん,たくさん,5,many / a lot
タクシー,タクシー,5,taxi
出す,だす,5,to take out / to produce
立つ,たつ,5,to stand
たて,たて,5,vertical / length (also 縦)
建物,たてもの,5,building
楽しい,たのしい,5,enjoyable / fun
頼む,たのむ,5,to request / to ask
たばこ,たばこ,5,tobacco / cigarette
たぶん,たぶん,5,probably
食べ物,たべもの,5,food
食べる,たべる,5,to eat
卵,たまご,5,egg
誰,だれ,5,who
誰か,だれか,5,someone
誕生日,たんじょうび,5,birthday
だんだん,だんだん,5,gradually
小さい,ちいさい,5,small / little
小さな,ちいさな,5,small (attributive)
近い,ちかい,5,near / close
違う,ちがう,5,to differ / wrong
近く,ちかく,5,nearby / vicinity
地下鉄,ちかてつ,5,subway
地図,ちず,5,map
茶色,ちゃいろ,5,brown
ちゃわん,ちゃわん,5,rice bowl
ちょうど,ちょうど,5,exactly / just
ちょっと,ちょっと,5,a little / somewhat
一日,ついたち,5,first day of month
使う,つかう,5,to use
疲れる,つかれる,5,to get tired
次,つぎ,5,next
着く,つく,5,to arrive
机,つくえ,5,desk
作る,つくる,5,to make / to create
つける,つける,5,to attach / to turn on
勤める,つとめる,5,to work for
つまらない,つまらない,5,boring / trivial
冷たい,つめたい,5,cold (to touch)
強い,つよい,5,strong
手,て,5,hand
テープ,テープ,5,tape
テーブル,テーブル,5,table
テープレコーダー,テープレコーダー,5,tape recorder
出かける,でかける,5,to go out
手紙,てがみ,5,letter
できる,できる,5,can / to be able
出口,でぐち,5,exit
テスト,テスト,5,test
では,では,5,then / well
デパート,デパート,5,department store
でも,でも,5,but / however
出る,でる,5,to go out / to leave
テレビ,テレビ,5,TV
天気,てんき,5,weather
電気,でんき,5,electricity
電車,でんしゃ,5,electric train
電話,でんわ,5,telephone
戸,と,5,door
ドア,ドア,5,door
トイレ,トイレ,5,toilet
どう,どう,5,how / in what way
どうして,どうして,5,why
どうぞ,どうぞ,5,please
動物,どうぶつ,5,animal
どうも,どうも,5,thanks / hello / somehow
遠い,とおい,5,far
十日,とおか,5,tenth day / ten days
時々,ときどき,5,sometimes
時計,とけい,5,clock / watch
どこ,どこ,5,where
所,ところ,5,place
年,とし,5,year
図書館,としょかん,5,library
どちら,どちら,5,which way / which one
どっち,どっち,5,which (coll.)
とても,とても,5,very / extremely
どなた,どなた,5,who (polite)
隣,となり,5,next to / neighbor
どの,どの,5,which (before noun)
飛ぶ,とぶ,5,to fly / to jump
止まる,とまる,5,to stop (intransitive)
友達,ともだち,5,friend
土曜日,どようび,5,Saturday
鳥,とり,5,bird
とり肉,とりにく,5,chicken meat
取る,とる,5,to take / to get
撮る,とる,5,to take (photo)
どれ,どれ,5,which one
ナイフ,ナイフ,5,knife
中,なか,5,inside / middle
長い,ながい,5,long
鳴く,なく,5,to cry (animal)
無くす,なくす,5,to lose / to get rid of
なぜ,なぜ,5,why
夏,なつ,5,summer
夏休み,なつやすみ,5,summer vacation
など,など,5,such as / etc.
七つ,ななつ,5,seven (things)
七日,なのか,5,seventh day / seven days
名前,なまえ,5,name
習う,ならう,5,to learn
並ぶ,ならぶ,5,to line up / to stand in line
並べる,ならべる,5,to line up (transitive)
なる,なる,5,to become
何,なん,5,what
何,なに,5,what
二,に,5,two
賑やか,にぎやか,5,lively / bustling
肉,にく,5,meat
西,にし,5,west
日曜日,にちようび,5,Sunday
荷物,にもつ,5,baggage / package
ニュース,ニュース,5,news
庭,にわ,5,garden
脱ぐ,ぬぐ,5,to take off (clothes)
温い,ぬるい,5,lukewarm
ネクタイ,ネクタイ,5,necktie
猫,ねこ,5,cat
寝る,ねる,5,to sleep / to go to bed
ノート,ノート,5,notebook
登る,のぼる,5,to climb
飲み物,のみもの,5,drink / beverage
飲む,のむ,5,to drink
乗る,のる,5,to ride / to board
歯,は,5,tooth
パーティー,パーティー,5,party
はい,はい,5,yes
灰皿,はいざら,5,ashtray
入る,はいる,5,to enter
葉書,はがき,5,postcard
はく,はく,5,to wear (below waist) / to sweep
箱,はこ,5,box
橋,はし,5,bridge
はし,はし,5,chopsticks
始まる,はじまる,5,to begin (intransitive)
初め,はじめ,5,beginning
始め,はじめ,5,beginning
初めて,はじめて,5,for the first time
走る,はしる,5,to run
バス,バス,5,bus
バター,バター,5,butter
二十歳,はたち,5,20 years old
働く,はたらく,5,to work
八,はち,5,eight
二十日,はつか,5,20th day / 20 days
花,はな,5,flower
鼻,はな,5,nose
話,はなし,5,story / talk
話す,はなす,5,to speak / to talk
早い,はやい,5,early / fast
速い,はやい,5,fast
春,はる,5,spring (season)
貼る,はる,5,to stick / to paste
晴れ,はれ,5,fair weather
晴れる,はれる,5,to clear up (weather)
半,はん,5,half
晩,ばん,5,evening
パン,パン,5,bread
ハンカチ,ハンカチ,5,handkerchief
番号,ばんごう,5,number
晩御飯,ばんごはん,5,dinner
半分,はんぶん,5,half
東,ひがし,5,east
引く,ひく,5,to pull / to subtract
弾く,ひく,5,to play (instrument)
低い,ひくい,5,low / short
飛行機,ひこうき,5,airplane
左,ひだり,5,left
人,ひと,5,person
一つ,ひとつ,5,one (thing)
一月,ひとつき,5,one month
一人,ひとり,5,one person / alone
暇,ひま,5,free time / spare time
百,ひゃく,5,one hundred
病院,びょういん,5,hospital
病気,びょうき,5,illness / disease
昼,ひる,5,afternoon / daytime
昼御飯,ひるごはん,5,lunch
広い,ひろい,5,wide / spacious
フィルム,フィルム,5,film (camera)
封筒,ふうとう,5,envelope
プール,プール,5,pool
フォーク,フォーク,5,fork
吹く,ふく,5,to blow (wind)
服,ふく,5,clothes
二つ,ふたつ,5,two (things)
豚肉,ぶたにく,5,pork
二人,ふたり,5,two people
二日,ふつか,5,second day / two days
太い,ふとい,5,thick / fat
冬,ふゆ,5,winter
降る,ふる,5,to fall (rain/snow)
古い,ふるい,5,old (not new)
ふろ,ふろ,5,bath (as in お風呂)
文章,ぶんしょう,5,sentence / writing
ページ,ページ,5,page
下手,へた,5,unskilled / poor at
ベッド,ベッド,5,bed
ペット,ペット,5,pet
部屋,へや,5,room
辺,へん,5,area / vicinity
ペン,ペン,5,pen
勉強する,べんきょうする,5,to study
便利,べんり,5,convenient
帽子,ぼうし,5,hat
ボールペン,ボールペン,5,ballpoint pen
ほか,ほか,5,other / besides
ポケット,ポケット,5,pocket
欲しい,ほしい,5,wanted / desirable
ポスト,ポスト,5,mailbox / post
細い,ほそい,5,thin / slender
ボタン,ボタン,5,button
ホテル,ホテル,5,hotel
本,ほん,5,book
本棚,ほんだな,5,bookshelf
ほんとう,ほんとう,5,real / true
毎朝,まいあさ,5,every morning
毎月,まいげつ,5,every month
毎月,まいつき,5,every month
毎週,まいしゅう,5,every week
毎日,まいにち,5,every day
毎年,まいねん,5,every year
毎年,まいとし,5,every year
毎晩,まいばん,5,every evening
前,まえ,5,before / front
曲る,まがる,5,to turn / to bend
まずい,まずい,5,unappetizing / poor / bad
また,また,5,again / also
まだ,まだ,5,still / not yet
町,まち,5,town / street
待つ,まつ,5,to wait
まっすぐ,まっすぐ,5,straight / honest
マッチ,マッチ,5,match (for fire)
窓,まど,5,window
丸い,まるい,5,round / circular
円い,まるい,5,round
万,まん,5,ten thousand
万年筆,まんねんひつ,5,fountain pen
磨く,みがく,5,to polish / to brush
右,みぎ,5,right
短い,みじかい,5,short (length)
水,みず,5,water
店,みせ,5,shop / store
見せる,みせる,5,to show
道,みち,5,road / way
三日,みっか,5,third day / three days
三つ,みっつ,5,three (things)
緑,みどり,5,green
皆さん,みなさん,5,everyone (polite)
南,みなみ,5,south
耳,みみ,5,ear
見る,みる,5,to see / to watch
観る,みる,5,to watch (movie etc.)
みんな,みんな,5,everyone / all
六日,むいか,5,sixth day / six days
向こう,むこう,5,beyond / opposite side
難しい,むずかしい,5,difficult
六つ,むっつ,5,six (things)
村,むら,5,village
目,め,5,eye
メートル,メートル,5,meter
眼鏡,めがね,5,eyeglasses
もう,もう,5,already / soon / more
もう一度,もういちど,5,one more time
木曜日,もくようび,5,Thursday
持つ,もつ,5,to hold / to have
もっと,もっと,5,more / further
物,もの,5,thing
門,もん,5,gate
問題,もんだい,5,problem / question
八百屋,やおや,5,greengrocer
野菜,やさい,5,vegetable
易しい,やさしい,5,easy
安い,やすい,5,cheap / inexpensive
休み,やすみ,5,rest / vacation
休む,やすむ,5,to rest / to take a break
八つ,やっつ,5,eight (things)
山,やま,5,mountain
やる,やる,5,to do / to give (to inferiors)
夕方,ゆうがた,5,evening
夕飯,ゆうはん,5,dinner
郵便局,ゆうびんきょく,5,post office
昨夜,ゆうべ,5,last night / yesterday evening
有名,ゆうめい,5,famous
雪,ゆき,5,snow
行く,ゆく,5,to go (alternative)
ゆっくりと,ゆっくりと,5,slowly
八日,ようか,5,eighth day / eight days
洋服,ようふく,5,Western-style clothes
よく,よく,5,often / well
横,よこ,5,side / horizontal
四日,よっか,5,fourth day / four days
四つ,よっつ,5,four (things)
呼ぶ,よぶ,5,to call / to invite
読む,よむ,5,to read
夜,よる,5,night / evening
弱い,よわい,5,weak
来月,らいげつ,5,next month
来週,らいしゅう,5,next week
来年,らいねん,5,next year
ラジオ,ラジオ,5,radio
ラジカセ,ラジカセ,5,radio cassette player
ラジオカセット,ラジオカセット,5,radio cassette recorder
りっぱ,りっぱ,5,splendid / fine
留学生,りゅうがくせい,5,international student
両親,りょうしん,5,parents
料理,りょうり,5,cooking / dish
旅行,りょこう,5,travel / trip
零,れい,5,zero
冷蔵庫,れいぞうこ,5,refrigerator
レコード,レコード,5,record
レストラン,レストラン,5,restaurant
練習する,れんしゅうする,5,to practice
廊下,ろうか,5,hallway / corridor
六,ろく,5,six
ワイシャツ,ワイシャツ,5,dress shirt
若い,わかい,5,young
分かる,わかる,5,to understand
忘れる,わすれる,5,to forget
私,わたくし,5,I (formal)
私,わたし,5,I
渡す,わたす,5,to hand over / to pass
渡る,わたる,5,to cross / to go across
悪い,わるい,5,bad / wrong
より,より,5,than / from
より,ほう,5,direction / side (as in よりほう)
ほう,より,5,side / better
ほう,ほう,5,side / way
